"","X","collectors","ID_individual","ID_web","ID_aggregate","time","local","experiment","spp","type","sex","age","web_heigth","n_argy","n_males","mass_g","total_length_mm","cephalot_width_mm","food_string","fs_mass","aggregate","n_fem_aggregate","if_feeding","log_mass","CC","pres_argy","males_presence"
"12",12,"Carol Hannah Raul","RHC 07 T2 F","RHC 07 T2","RHC 07","11:15","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.25,1,0,0.1928,15.61,4.15,"absent",NA,"yes",4,"no",-0.714892970433188,0.048819107188847,"1",0
"13",13,"Carol Hannah Raul","RHC 07 T3 F","RHC 07 T3","RHC 07","11:25","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.25,0,0,0.0875,13.08,3.54,"absent",NA,"yes",4,"no",-1.05799194697769,-0.00585963379134046,"0",0
"14",14,"Carol Hannah Raul","RHC 07 T4 F","RHC 07 T4","RHC 07","11:35","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,2,0,0.1896,15.59,3.14,"present",0.0011,"yes",4,"no",-0.722161666997953,0.0438304124862509,"1",0
"15",15,"Gabriel Izabel Fernanda","GIF 01 F1","GIF 01",NA,"10:24","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.25,2,3,0.0982,12.46,2.88,"present",0.0084,"no",1,"no",-1.00788851221305,0.114923858700519,"1",1
"16",16,"Gabriel Izabel Fernanda","GIF 01 M1","GIF 01",NA,"10:24","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.25,2,3,0.0182,6.42,1.83,"present",NA,"no",1,"no",-1.73992861201493,0.0714443212735216,"1",1
"17",17,"Gabriel Izabel Fernanda","GIF 01 M2","GIF 01",NA,"10:24","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.25,2,3,0.0192,6.39,1.73,"present",NA,"no",1,"no",-1.71669877129645,0.0980941647852491,"1",1
"18",18,"Gabriel Izabel Fernanda","GIF 01 M3","GIF 01",NA,"10:24","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.25,2,3,0.0068,4.91,1.53,"present",NA,"no",1,"no",-2.16749108729376,-0.183978013411598,"1",1
"19",19,"Gabriel Izabel Fernanda","GIF 02 M1","GIF 02",NA,"10:34","regiao lagoa","A","Trichonephila clavipes","tennant","male","MJ",1.35,0,1,0.0167,6.33,1.39,"absent",NA,"no",1,NA,-1.77728352885242,0.0443494128157882,"0",1
"20",20,"Gabriel Izabel Fernanda","GIF 03 F1","GIF 03",NA,"10:45","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.12,1,1,0.2529,17.67,4.17,"present",NA,"no",1,NA,-0.597051170655595,-0.0681792848369128,"1",1
"21",21,"Gabriel Izabel Fernanda","GIF 03 M1","GIF 03",NA,"10:45","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.12,1,1,0.0245,7.2,2.01,"present",NA,"no",1,NA,-1.61083391563547,0.111618945028409,"1",1
"22",22,"Gabriel Izabel Fernanda","GIF 04 F1","GIF 04",NA,"11:06","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.25,2,1,0.1582,14.55,4.17,"present",NA,"no",1,NA,-0.800793520838342,0.0837586554786216,"1",1
"23",23,"Gabriel Izabel Fernanda","GIF 04 M1","GIF 04",NA,"11:06","regiao lagoa","A","Trichonephila clavipes","tennant","male","MJ",1.25,2,1,0.0277,7.47,1.71,"present",NA,"no",1,NA,-1.55752023093555,0.134152604589051,"1",1
"24",24,"Gabriel Izabel Fernanda","GIF 05 F2","GIF 05",NA,"11:24","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.6,0,0,0.0745,11.44,2.1,"present",NA,"no",1,NA,-1.12784372725171,0.111248738632454,"0",0
"25",25,"Gabriel Izabel Fernanda","PA GIF 02 F1","PA GIF 02",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",1.05,2,0,0.0421,10.11,4.4,"present",0.0041,"no",1,NA,-1.37571790416433,0.0149946855540324,"1",0
"26",26,"Gabriel Izabel Fernanda","PA GIF 03 F1","PA GIF 03",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",1.2,0,1,0.0685,17.67,4.17,"present",NA,"yes",4,NA,-1.16430942850757,-0.635437542688892,"0",1
"27",28,"Gabriel Izabel Fernanda","PA GIF 04 F1","PA GIF 04",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","male","MJ",1.15,0,0,0.0136,6.22,1.03,"present",NA,"no",1,NA,-1.86646109162978,-0.0322881397196511,"0",0
"28",29,"Gabriel Izabel Fernanda","PA GIF 05 F1","PA GIF 05",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",1.65,0,2,0.1353,13.21,2.66,"present",NA,"no",1,NA,-0.868702203402377,0.168610097679874,"0",1
"29",30,"Gabriel Izabel Fernanda","PA GIF 05 M1","PA GIF 05",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","male","MA",1.65,0,2,0.0322,7.73,2.21,"present",NA,"no",1,NA,-1.49214412830417,0.169888683012243,"0",1
"30",31,"Gabriel Izabel Fernanda","PA GIF 05 M2","PA GIF 05",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","female","J",1.65,0,2,0.0154,6.8,1.54,"present",NA,"no",1,NA,-1.81247927916354,-0.044426381256291,"0",1
"31",32,"Gabriel Izabel Fernanda","PA GIF 06 F1","PA GIF 06",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","male","MJ",1.2,0,0,0.0058,5.25,1.01,"present",NA,"no",1,NA,-2.23657200643706,-0.29181896421176,"0",0
"32",33,"Gabriel Izabel Fernanda","PA GIF 06 M1","PA GIF 06",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","male","MJ",1.2,0,0,0.0036,3.13,1.03,"present",NA,"no",1,NA,-2.44369749923271,-0.257264259617553,"0",0
"33",34,"Gabriel Izabel Fernanda","PA GIF 07 F1 ","PA GIF 07",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",0.8,0,0,0.1604,15.58,2.1,"absent",NA,"no",1,NA,-0.794795636051855,-0.0276635556365676,"0",0
"34",35,"Gabriel Izabel Fernanda","PA GIF 08 F1","PA GIF 08",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","male","MJ",0.8,0,0,0.001,6.53,1.34,"absent",NA,"no",1,NA,-3,-1.20116707695348,"0",0
"35",36,"Gabriel Izabel Fernanda","PA GIF 09 F1","PA GIF 09",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",0.8,0,0,0.0947,12.47,2.09,"absent",NA,"no",1,NA,-1.02365002099673,0.0980223489857581,"0",0
"36",37,"Gabriel Izabel Fernanda","PA GIF 10 F1","PA GIF 10",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",0.8,0,0,0.104,12.48,2.3,"present",0.008,"yes",4,NA,-0.98296666070122,0.137565708350181,"0",0
"37",38,"Gabriel Izabel Fernanda","PA GIF 11 F1","PA GIF 11",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",0.4,0,0,0.0382,9.36,2.09,"present",0.0098,"no",1,NA,-1.41793663708829,0.0582760224613905,"0",0
"38",39,"Gabriel Izabel Fernanda","PA GIF 12 F1","PA GIF 12",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",1.5,0,1,0.2154,15.61,3.14,"present",0.0072,"no",1,NA,-0.666754301038037,0.0969577765839978,"0",1
"39",40,"Gabriel Izabel Fernanda","PA GIF 12 M1","PA GIF 13",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","male","MA",1.5,0,1,0.0255,7.24,1.91,"present",NA,"no",1,NA,-1.59345981956604,0.124433037373495,"0",1
"40",41,"Gabriel Izabel Fernanda","C GIF 01 F1","C GIF 01",NA,"manha","cachoeirinha","A","Trichonephila clavipes","female","female","A",NA,NA,NA,0.5448,16,3.7,NA,NA,"no",1,NA,-0.263762901095271,0.455489140214479,NA,NA
"41",43,"Felipe Beatrice Luiza","FBL1 T1 F1","FBL1 T1","FBL1","10:30","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.5,0,0,0.026,16.64,3.13,"absent",NA,"yes",3,NA,-1.58502665202918,-0.938734670308823,"0",0
"42",45,"Felipe Beatrice Luiza","FBL1 F2","FBL1 T2","FBL1","10:30","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.3,0,0,0.4044,15.58,3.13,"present",0.0077,"yes",3,NA,-0.393188853081037,0.373943227334251,"0",0
"43",46,"Felipe Beatrice Luiza","FBL1 T3 M3","FBL1 T3","FBL1","10:30","regiao lagoa","A","Trichonephila clavipes","tennant","male","MJ",1.45,0,0,0.0086,4.84,1.39,"absent",NA,"yes",3,NA,-2.06550154875643,-0.0740084683566762,"0",0
"44",47,"Felipe Beatrice Luiza","FBL2 F1","FBL2 T1","FBL2","11:03","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.3,2,2,0.2545,16.63,4.16,"present",0.0162,"yes",4,NA,-0.594312213327222,0.0531197693242208,"1",1
"45",48,"Felipe Beatrice Luiza","FBL2 F2","FBL2 T2","FBL2","11:03","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.3,0,0,0.0552,9.38,2.09,"absent",NA,"yes",4,NA,-1.2580609222708,0.215871735416712,"0",0
"46",49,"Felipe Beatrice Luiza","FBL2 F3","FBL2 T4","FBL2","11:03","regiao lagoa","A","Trichonephila clavipes","female","female","A",2,0,1,0.5164,21.825,6.23,"absent",NA,"yes",4,NA,-0.287013766405617,-0.231812267452434,"0",1
"47",50,"Felipe Beatrice Luiza","FBL2F4
","FBL2 T4","FBL2","11:03","regiao lagoa","A","Trichonephila clavipes","female","female","J",2,0,1,0.0839,12.74,2.45,"absent",NA,"yes",4,NA,-1.0762380391713,0.0146543056719106,"0",1
"48",51,"Felipe Beatrice Luiza","FBL 02 M1","FBL2 T4","FBL2","11:03","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",2,0,1,0.0151,6.22,1.57,"absent",NA,"yes",4,NA,-1.82102305270683,0.013149899203301,"0",1
"49",52,"Felipe Beatrice Luiza","FBL 2 T5 M2","FBL2 T5","FBL2","11:03","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",2,0,1,0.0212,6.74,1.95,"absent",NA,"yes",4,NA,-1.67366413907125,0.101228764422503,"0",1
"50",53,"Felipe Beatrice Luiza","FBL T3 F1","FBL3 T3","FBL3","11:30","regiao lagoa","A","Trichonephila clavipes","female","female","J",2,0,1,0.0473,9.36,2.9,"absent",NA,"yes",4,NA,-1.32513885926219,0.151073800287493,"0",1
"51",54,"Felipe Beatrice Luiza","FBL3 F2","FBL3 T3","FBL3","11:30","regiao lagoa","A","Trichonephila clavipes","female","female","J",2,0,1,0.2213,17.69,4.17,"absent",NA,"yes",4,NA,-0.655018586072742,-0.128426702116228,"0",1
"52",55,"Felipe Beatrice Luiza","FBL 3 M1 T3
","FBL3 T3","FBL3","11:30","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",2,0,1,0.0187,6.03,1.61,"absent",NA,"yes",4,NA,-1.7281583934635,0.127674576137231,"0",1
"53",56,"Felipe Beatrice Luiza","FBL3 F3","FBL3 T4","FBL3","11:30","regiao lagoa","A","Trichonephila clavipes","female","female","J",2,1,0,0.2419,16.64,4.15,"absent",NA,"yes",NA,NA,-0.61636413163812,0.0299278500822384,"1",0
"54",57,"Felipe Beatrice Luiza","FBL3F4","FBL3 T4","FBL3","11:30","regiao lagoa","A","Trichonephila clavipes","female","female","SA",2,1,0,0.3803,18.71,3.13,"absent",NA,"yes",NA,NA,-0.419873674588418,-0.00956188560249529,"1",0
"55",58,"Beatrice Luiza","BL1 T1 F1","BL1 T1","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,1,3,0.1711,14.57,3.13,"absent",NA,"yes",7,NA,-0.7667499904589,0.115522183995896,"1",1
"56",59,"Beatrice Luiza","BL1 M2 T4","BL1 T4","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.3,0,1,0.0313,7.14,2.18,"present",0.002,"yes",7,NA,-1.50445566245355,0.22483720379683,"0",1
"57",60,"Beatrice Luiza","BL1 F2 T2","BL1 T2","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.1441,15.72,2.85,"absent",NA,"yes",7,NA,-0.841336019186011,-0.0901639518059023,"0",0
"58",61,"Beatrice Luiza","BL1 M3 T5","BL1 T5","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1,0,1,0.0079,3.93,1.32,"absent",NA,"yes",7,NA,-2.10237290870956,-0.00713974358113747,"0",1
"59",62,"Beatrice Luiza","BL4 M1 C1","BL4","BL4","11:32","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1,0,1,0.016,7.03,1.35,"present",NA,"yes",1,NA,-1.79588001734408,-0.0540471408517668,"0",1
"60",63,"Beatrice Luiza","BL1 F3 T3","BL1 T3","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.3,0,0,0.0254,7.28,1.06,"absent",NA,"yes",7,NA,-1.59516628338006,0.118166569835141,"0",0
"61",64,"Beatrice Luiza","BL1 F4 T4","BL1 T4","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.3,0,1,0.2131,16.62,3.13,"absent",NA,"yes",7,NA,-0.671416550285798,-0.0228445667032709,"0",1
"62",65,"Beatrice Luiza","BL 5 M1 T1","BL5 T1","BL5","11:40","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.3,0,1,0.0071,4.86,1.28,"present",NA,"yes",2,NA,-2.14874165128092,-0.159528572743337,"0",1
"63",66,"Beatrice Luiza","BL1 F5 T6","BL1 T6","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.0804,15.58,2.1,"absent",NA,"yes",NA,NA,-1.09474395125155,-0.327611870836261,"0",0
"64",67,"Beatrice Luiza","BL1 F6 T6","BL1 T6","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.1772,16.02,3.08,"absent",NA,"yes",NA,NA,-0.751536282448968,-0.0345642430013867,"0",0
"65",68,"Beatrice Luiza","BL1 F7 T7","BL1 T7","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.0865,12.88,3.1,"absent",NA,"yes",NA,NA,-1.06298389253519,0.0119484392728452,"0",0
"66",69,"Beatrice Luiza","BL2 T1 F1 C1","BL2 T1","BL2","11:20","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.8,1,0,0.1098,12.75,3.01,"present",0.0177,"no",NA,NA,-0.959397659885927,0.130354684026199,"1",0
"67",70,"Beatrice Luiza","BL4 T1 F1","BL4 T1","BL4","11:32","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,1,0.1652,15.05,2.85,"present",NA,"no",NA,NA,-0.781989957015637,0.0455621727471155,"0",1
"68",71,"Beatrice Luiza","BL4 M1C1","BL4 T1","BL4","11:32","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1,0,1,0.016,7.03,1.35,"present",NA,"no",NA,NA,-1.79588001734408,-0.0540471408517668,"0",1
"69",72,"Beatrice Luiza","BL5 T1 F1","BL5 T1","BL5","11:40","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.3,0,1,0.1712,13.51,4.17,"present",NA,"yes",2,NA,-0.766496239658866,0.236616033490859,"0",1
